,Title,Item link,Price,Shipping
0,"Super Nintendo SNES System Console With 2 OEM Controllers Authentic & Clean!!
Opens in a new window or tab",https://www.ebay.com/itm/153688647582?hash=item23c88ea79e:g:NfUAAOSwzy9dymLH&amdata=enc%3AAQAIAAAAwBGIiaadE%2FwsBAXgG%2BkosR%2BEVKIFISBYNK9JX6DXDudustmrH%2B%2By%2FyJVnsjWb4AyiGb1FptHbSQjOzF7%2BoaXa6PIbC2zK3tPZ25v%2BEUm7ax34nURQrZromn5%2FNHpVrVFi3Rp4myQZmdCmgM7mX8e0VzTuYiXk5vE9DbsjTXyptrVHFaycZSdNoFSQdXBNuCXxQJse42u3K%2Bnc6LCa%2BafcANXe5%2FcJEIq5XclvgC8wPmZRTB8gQJH%2BJKV0h8L%2F5oXqw%3D%3D%7Ctkp%3ABlBMUNSs3crHYg,$248.12,Free shipping
1,"NEW LISTINGSony PS5 Blu-Ray Edition Console Final Fantasy XVI Bundle - White
Opens in a new window or tab",https://www.ebay.com/itm/225749264834?epid=2331304236&hash=item348fb469c2:g:64IAAOSwDe1kusfL&amdata=enc%3AAQAIAAAA4JrUKO%2Bg2BD6dINxVux%2FsOWzBysMN2WCUB%2Bi%2FqTuZlBl95J1iloONRYKZucckhKjQmyUnr0A9FA6UTY0xOEMhpVM6R63inWX%2Ba2puVL4We1Jp3i77ghrdcmQlfk9HVLqY2R2mH8%2FFai%2BCp89HpRDclf0i616E9G6XNloF8rlxcPQFGBgaKgUv6EMQw%2Ffvk7sPsR3KeDXXRTRXZQwowT1TSpJKLbG5VO1Qlw8p%2BG4nocH4hGonRxP5YMYaCQnSofNeXmJtNvH5yh5HsKAh3AfnXB%2BwWw5JQrDIN3A2G7QJbT9%7Ctkp%3ABFBM1Kzdysdi,$399.00,Free shipping
2,"Anbernic RG35XX Retro Handheld Game Console 64GB - 5K Games - Tracked, Insured
Opens in a new window or tab",https://www.ebay.com/itm/145212677577?hash=item21cf599dc9:g:sUIAAOSwlwJkxfwQ&amdata=enc%3AAQAIAAAAwINUgBLV62CgNBuGEzOTR7gtqUbgV3jPVcy0pMm%2FWu6OhiPm%2F%2FL3%2BGW4t72LUYgHYt99gvjHGUxZwjHwZLLoZ6BhEPRGSYKIloP0BWYcBCeH4VvwR8p%2BBNzdELf%2Bb4CqQKfBHiXSJxJWw8AHGsg7nZVtYMulogahabcGGeCxSiCm15NuhD4TMQoJN1h7w0rvKb14pSQ4Rx8a1j8VsS8s2BrLmLd1m7CDldSFAHs%2Fd7Nv65q4JHK9L4ZQflmqHQZB0g%3D%3D%7Ctkp%3ABk9SR9Ss3crHYg,$66.99,Free shipping
3,"Sony PSP 3000, 2000, or 1000 System Bundle w/ 64gb & QUALITY Battery & Charger
Opens in a new window or tab",https://www.ebay.com/itm/193360503183?hash=item2d052f218f:g:MvMAAOSwIFFisQjL&amdata=enc%3AAQAIAAAAwBxNLOVoOqwIVS0X7dR7alTWk9nzJUWdkBMVo1BdHdKJglcOA9yhURyySg0tdQ7%2F0bBYLKM780S7wUHAHrudN4g5zRoNr1v3nIcPNZA%2BTeUXKWppDk1q85JJU9SX0x6GMhb7a2gFK5A4ye%2BqfqD7x0JzqbrOU6cVAlAq6osrWutNbqKWNP4w4%2FIr3MqefCtYEC8MIXVhNKpDLyS7C4AITYXoFiNmd57gYIG%2FkxRoBsJ%2B8sTQjbTRTw%2BkTmfjfYoMqw%3D%3D%7Ctkp%3ABk9SR9Ss3crHYg,$79.00 to $140.00,Free shipping
4,"WHITE Sony PSP 1000 System w/ Charger & 64gb Memory Card Bundle Region Free
Opens in a new window or tab",https://www.ebay.com/itm/115530342630?hash=item1ae62520e6:g:O4IAAOSwY1NjJpsR&amdata=enc%3AAQAIAAAAwL6UixwucKfMbll0XjuLY8jy7ctBYU3pNnKmmhrIgqzwW57Q9f1Ood%2BGqc2xFdm1dVGS9vS9cCCHTeqA%2FDrPyTcCQZ7%2BhyJPDe9GafCObAbwQx4BDT5ZezLdPxxFdMB%2BHf%2FtSbSOQTVh96IxpV9O3To86VYDUQuhBoNnQwcXhLFpDXzDXrygwy6zRDxUwhv%2B0mBJvGorUO3OklF4C5S0NJnRd8P9Wa4buQtHTV52zuWRR53AZjyzsr99p8mQVh0wZA%3D%3D%7Ctkp%3ABk9SR9as3crHYg,$80.00,Free shipping
5,"Video Game Console Retro 15000+ Games TV Stick 64G 4K HDMI 2 Wireless Controller
Opens in a new window or tab",https://www.ebay.com/itm/145103918730?hash=item21c8de168a:g:OvoAAOSwQUhkcFkK&amdata=enc%3AAQAIAAAA4PGomTjyzTCf%2BF5rZc3ji7pujy9ax%2FeqjwaQ%2BI9tY4o3X9mwzON%2FPOGx%2F11OTKEYWNURx9Y%2BY%2BwWBIsX9hlaSg%2FWm11JTrFqMBkS4fRzdgjmyQeDmN6085LLZvmWFC2dvcdOgLCBcGdSa4KV6BNDG%2FsmEfN7%2FTUlJrtTgqX9vJFh8xomevKq2qQHR0QlB%2Fj7ZEK1e43FYHwfwGq79zggMq2No5uZwf9sljz430csQMHpaqQGkCFASS118qEErfZvgn2UMW25Dscs8Iigcj09F6IYouJZDwXaJWM%2BQYVPY2cY%7Ctkp%3ABk9SR9as3crHYg,$32.59 to $34.98,Free shipping
6,"Authentic Wii Console White + Pick Controls Wii Sports Mario Kart & More + USA
Opens in a new window or tab",https://www.ebay.com/itm/314387992124?hash=item4932fc0e3c:g:kMIAAOSwbSJkXttS,$146.99,Free shipping
7,"Microsoft XBox 360 E System BLACK Video Game Console 250GB Wireless Bundle 360E
Opens in a new window or tab",https://www.ebay.com/itm/364184910623?hash=item54cb1cbb1f:g:iwkAAOSwVKBjkTOR,$189.95,Free shipping
8,"EXCELLENT - N64 Nintendo 64 Console + UP TO 4 NEW CONTROLLERS + Cords + CLEANED!
Opens in a new window or tab",https://www.ebay.com/itm/142373490668?hash=item21261f0fec:g:G1kAAOSwai1jPb84,$149.95,Free shipping
9,"Sony PlayStation PSP 1000/2000/3000 Console with Charger/New Battery Region Free
Opens in a new window or tab",https://www.ebay.com/itm/204309390922?hash=item2f91c9e64a:g:KD0AAOSwfaxkP174,$129.99,Free shipping
10,"Authentic Wii Console System White + Pick Games, Controllers & Cords + US Seller
Opens in a new window or tab",https://www.ebay.com/itm/314069149141?hash=item491ffae5d5:g:L3gAAOSwTJpizD64,$97.99,Free shipping
11,"Nintendo DS Lite Console With Charger Pick Your Color USA Seller Tested Working
Opens in a new window or tab",https://www.ebay.com/itm/203012131792?hash=item2f44774bd0:g:uroAAOSw1e5grFGL,$69.95,Free shipping
12,"🔥Microsoft Xbox Series S 512GB White System - CONSOLE with Power Cord ONLY
Opens in a new window or tab",https://www.ebay.com/itm/185277762043?hash=item2b236a49fb:g:vMsAAOSwB5hh-Rok,$229.98,Free shipping
13,"ORIGINAL Nintendo Entertainment System Video Game Bundle Set Kit NES Console OG
Opens in a new window or tab",https://www.ebay.com/itm/334516818286?hash=item4de2c1916e:g:AD4AAOSw3YphYRwA,$170.95,Free shipping
14,"Nintendo DS Lite Authentic DSL Console Handheld + Charger *Choose Your Color*
Opens in a new window or tab",https://www.ebay.com/itm/144038149910?hash=item218957bf16:g:SbcAAOSwTSJiN-lQ&amdata=enc%3AAQAIAAAAwMzQdTWkU%2Fqi%2BmaUsZIvR%2FnezAeC1UIPQeYnb5n3QDvg00qHvKNRkHzHuPRUke%2B9j3icco6LqKsKCQgI7XB3h4ZbWdpNGtHkiv3i%2Fw5IkSa9wU7m%2FuqUF46npNxTF8COik9KVbG16pBQ2318bgSmbA49Mi0RuT%2BE4SKeYd6K96XjY13q2zAA8ofhYu91pVH4ojB1ARCFCnHVT7Cohb%2F3PyRO25VXdtvSILIM6YLaUyVBANvf5zb9uXV82Cy%2F6mC4QA%3D%3D%7Ctkp%3ABk9SR9as3crHYg,$9.99 to $73.99,Free shipping
15,"NEW LISTINGMicrosoft Xbox One S 500GB - White
Opens in a new window or tab",https://www.ebay.com/itm/195955735707?epid=23021734044&hash=item2d9fdf3c9b:g:5uMAAOSwEmNk7LTi&amdata=enc%3AAQAIAAAAwAcvcQX88SBxgZ5q0O1VJpFJ%2FbSBxppDjuZ%2BuA%2Bjw3f5VyCyxvfdTuWFw%2FKXKvs2C5IXBoyA7SqYTpJcBz0YkNMf8BJ7kTowBW3YTVzZ0zEH23AQ6%2BPUZzBftlTv%2FzJ6KmwhVu4%2FSbxfLSijciS3W3V%2FKRtuEdvhKLLbFaGAyQS3BfpqnB8hAq8A7pOr7Oa0W2VwwBfLK4WYVoSxCHGZb4eyV9%2Bs4WHlE9DtQ%2FGd2JIu9ogYne0%2BZwXH0Cek3wx47g%3D%3D%7Ctkp%3ABk9SR9as3crHYg,$60.00,+$22.80 shipping
16,"White Nintendo Wii System Console Bundle - Discounted
Opens in a new window or tab",https://www.ebay.com/itm/394807052540?hash=item5bec5588fc:g:uI0AAOSwCkBkrAzS&amdata=enc%3AAQAIAAAA4LGWl4KJTuOA2FsRB4aLsUQdmgG6cBD%2B28R1z5zBnglr3EzmzUJBwYvIPajL2dJKEsEizzS5hcCHXrYwmPFlwJIqvQhZmSxRh0ZT5vt73MTHXmTg92Cys8XHDvQy7cAwT86utfP45DjmimNjS5J2VHwgRFToGyhfiPirJMj3m%2BhfRkD6ergNq3fO1V8ALShk%2FVIcGttyLnxe6X4k20xwnr%2FVooabDI7xHNq1MfDwHjMBuirBoovt%2Fc05WdN5bZ2XySjWW0V9vqTc6ZeSyhWEDACsJvyryEowR3wjXkNWE8RR%7Ctkp%3ABk9SR9as3crHYg,$61.95,Free shipping
